cell_type,source,program,nDonors,dm_mean,det2
Cholangiocytes,biopsy,HIF,37,0.9646,0.4851
Cholangiocytes,biopsy,HSP,37,0.0206,0.0044
Cholangiocytes,biopsy,IEG,37,0.0838,0.0302
Cholangiocytes,explant,HIF,5,0.7353,0.4648
Cholangiocytes,explant,HSP,5,0.0651,0.0339
Cholangiocytes,explant,IEG,5,0.8905,0.4181
Cholangiocytes,healthy,HIF,3,0.7503,0.3929
Cholangiocytes,healthy,HSP,3,0.1922,0.0689
Cholangiocytes,healthy,IEG,3,0.2498,0.1178
Endothelial,biopsy,HIF,38,0.3308,0.1647
Endothelial,biopsy,HSP,38,0.0023,0.0004
Endothelial,biopsy,IEG,38,0.0516,0.0132
Endothelial,explant,HIF,5,0.856,0.4067
Endothelial,explant,HSP,5,0.1052,0.0435
Endothelial,explant,IEG,5,0.9408,0.4399
Endothelial,healthy,HIF,4,0.5201,0.3349
Endothelial,healthy,HSP,4,0.3556,0.134
Endothelial,healthy,IEG,4,0.205,0.088
Hepatocytes,biopsy,HIF,38,0.675,0.616
Hepatocytes,biopsy,HSP,38,0.0065,0.0018
Hepatocytes,biopsy,IEG,38,0.0676,0.0469
Hepatocytes,explant,HIF,5,1.1799,0.7237
Hepatocytes,explant,HSP,5,0.4272,0.2745
Hepatocytes,explant,IEG,5,1.2487,0.7084
Hepatocytes,healthy,HIF,4,0.8008,0.7899
Hepatocytes,healthy,HSP,4,0.1214,0.1112
Hepatocytes,healthy,IEG,4,0.1606,0.1636
Lymphocytes,biopsy,HIF,38,0.5002,0.1841
Lymphocytes,biopsy,HSP,38,0.0189,0.001
Lymphocytes,biopsy,IEG,38,0.1452,0.0307
Lymphocytes,explant,HIF,5,0.8162,0.232
Lymphocytes,explant,HSP,5,0.1804,0.0504
Lymphocytes,explant,IEG,5,0.4697,0.15
Lymphocytes,healthy,HIF,4,0.7382,0.3086
Lymphocytes,healthy,HSP,4,0.1241,0.0459
Lymphocytes,healthy,IEG,4,0.1084,0.0216
Macrophages,biopsy,HIF,38,0.5409,0.2522
Macrophages,biopsy,HSP,38,0.0116,0.0025
Macrophages,biopsy,IEG,38,0.1238,0.03
Macrophages,explant,HIF,5,1.0257,0.3428
Macrophages,explant,HSP,5,0.2992,0.1103
Macrophages,explant,IEG,5,0.6562,0.2847
Macrophages,healthy,HIF,4,0.4894,0.4129
Macrophages,healthy,HSP,4,0.0586,0.0173
Macrophages,healthy,IEG,4,0.1631,0.0747
Stellate,biopsy,HIF,38,0.3523,0.203
Stellate,biopsy,HSP,38,0.0084,0.0009
Stellate,biopsy,IEG,38,0.0616,0.0162
Stellate,explant,HIF,5,0.9122,0.3544
Stellate,explant,HSP,5,0.1246,0.0502
Stellate,explant,IEG,5,0.7381,0.287
Stellate,healthy,HIF,4,0.3946,0.2633
Stellate,healthy,HSP,4,0.3818,0.146
Stellate,healthy,IEG,4,0.176,0.091
