readout,axis,rho,p,n_donors
strength,fibrosis,-0.49197406840959573,0.00044432203200139663,47
pc_level,fibrosis,-0.45428489622114676,0.0013384170680066844,47
spread,fibrosis,-0.34020996467592013,0.019292548361776258,47
strength,nas,-0.2536629850580952,0.11424686861034365,40
pc_level,nas,-0.4828244317867153,0.0016021949544567657,40
spread,nas,-0.15536857834808332,0.3384118463919332,40
strength_partial_fib_ctrl_nas,fibrosis,-0.3969141553441517,,40
strength_partial_nas_ctrl_fib,nas,-0.11516244065645612,,40
strength,fibrosis_within_NASH,-0.05333677379221055,0.791610607347986,27
pc_level,fibrosis_within_NASH,-0.37204045916788847,0.05601181670614995,27
