"gene_set","NGenes","Direction_CPM","PValue_CPM","FDR_CPM","Direction_TMM","PValue_TMM","FDR_TMM"
"CTRL_EMT",15,"Up",1.82996226816526e-06,9.14981134082631e-06,"Up",8.0319986372697e-08,8.0319986372697e-07
"xenobiotic_CYP",13,"Down",2.31502110500379e-07,2.31502110500379e-06,"Down",7.05412483463433e-07,3.52706241731716e-06
"cholangiocyte_ductular",10,"Up",5.64685634274054e-06,1.88228544758018e-05,"Up",9.0171681048054e-06,3.0057227016018e-05
"CTRL_interferon",20,"Up",0.000736906620921079,0.00147381324184216,"Up",4.02798266635053e-05,0.000100699566658763
"pericentral_anchors",20,"Down",5.82469884416142e-05,0.000145617471104036,"Down",0.000132987469541694,0.000265974939083388
"periportal_anchors",20,"Up",0.0102275957195584,0.0146108510279406,"Up",0.00456785792062103,0.00761309653436838
"detox_phase2",16,"Down",0.00420798297136827,0.00701330495228045,"Down",0.00656872987641805,0.00938389982345436
"urea_cycle",9,"Down",0.0986658620119018,0.123332327514877,"Down",0.104093682317797,0.130117102897246
"CTRL_ER_stress",20,"Up",0.716563301272638,0.716563301272638,"Up",0.644641577367683,0.716268419297425
"bile_acid_lipid",20,"Down",0.679663125439216,0.716563301272638,"Down",0.792497945260868,0.792497945260868
