set,arm,axis,level_label,n_donors,mean_expr,sem_expr
expanded_curated,pc,stage,Healthy,4,0.902612,0.174065
expanded_curated,pc,stage,NAFLD,7,1.12475,0.032421
expanded_curated,pc,stage,NASH,27,1.017891,0.019279
expanded_curated,pc,stage,Cirrhosis,4,0.992268,0.021147
expanded_curated,pc,stage,End-stage,5,0.596661,0.061093
paper2_landmark,pc,stage,Healthy,4,0.908266,0.171973
paper2_landmark,pc,stage,NAFLD,7,1.142714,0.041451
paper2_landmark,pc,stage,NASH,27,1.020738,0.020228
paper2_landmark,pc,stage,Cirrhosis,4,1.013321,0.016486
paper2_landmark,pc,stage,End-stage,5,0.568203,0.081895
core_curated,pc,stage,Healthy,4,1.096208,0.178518
core_curated,pc,stage,NAFLD,7,1.304757,0.049926
core_curated,pc,stage,NASH,27,1.19203,0.022739
core_curated,pc,stage,Cirrhosis,4,1.157916,0.024047
core_curated,pc,stage,End-stage,5,0.829109,0.084591
paper2_top100,pc,stage,Healthy,4,0.530005,0.037517
paper2_top100,pc,stage,NAFLD,7,0.662407,0.020858
paper2_top100,pc,stage,NASH,27,0.599126,0.008205
paper2_top100,pc,stage,Cirrhosis,4,0.599343,0.018682
paper2_top100,pc,stage,End-stage,5,0.483314,0.027278
paper2_full,pc,stage,Healthy,4,0.58829,0.018102
paper2_full,pc,stage,NAFLD,7,0.663483,0.008599
paper2_full,pc,stage,NASH,27,0.616635,0.00552
paper2_full,pc,stage,Cirrhosis,4,0.621114,0.020524
paper2_full,pc,stage,End-stage,5,0.525606,0.01662
expanded_curated,pp,stage,Healthy,4,1.103862,0.102138
expanded_curated,pp,stage,NAFLD,7,0.980645,0.039688
expanded_curated,pp,stage,NASH,27,0.999688,0.023821
expanded_curated,pp,stage,Cirrhosis,4,0.998032,0.066257
expanded_curated,pp,stage,End-stage,5,1.16547,0.090146
paper2_landmark,pp,stage,Healthy,4,1.193327,0.101852
paper2_landmark,pp,stage,NAFLD,7,1.038024,0.033205
paper2_landmark,pp,stage,NASH,27,1.079163,0.02552
paper2_landmark,pp,stage,Cirrhosis,4,1.0898,0.0693
paper2_landmark,pp,stage,End-stage,5,1.191174,0.122076
core_curated,pp,stage,Healthy,4,0.848117,0.091897
core_curated,pp,stage,NAFLD,7,1.012191,0.080485
core_curated,pp,stage,NASH,27,0.871507,0.029384
core_curated,pp,stage,Cirrhosis,4,0.812243,0.059661
core_curated,pp,stage,End-stage,5,1.007635,0.134467
paper2_top100,pp,stage,Healthy,4,0.604129,0.031254
paper2_top100,pp,stage,NAFLD,7,0.521845,0.012882
paper2_top100,pp,stage,NASH,27,0.545626,0.013114
paper2_top100,pp,stage,Cirrhosis,4,0.602636,0.048186
paper2_top100,pp,stage,End-stage,5,0.615642,0.060454
paper2_full,pp,stage,Healthy,4,0.511741,0.008764
paper2_full,pp,stage,NAFLD,7,0.519599,0.008306
paper2_full,pp,stage,NASH,27,0.505886,0.005184
paper2_full,pp,stage,Cirrhosis,4,0.522111,0.022597
paper2_full,pp,stage,End-stage,5,0.467125,0.017284
expanded_curated,pc,fibrosis,F0,5,0.941514,0.142204
expanded_curated,pc,fibrosis,F1,9,1.092766,0.027282
expanded_curated,pc,fibrosis,F2,12,1.040515,0.026186
expanded_curated,pc,fibrosis,F3,12,0.994842,0.03493
expanded_curated,pc,fibrosis,F4,9,0.772486,0.077082
paper2_landmark,pc,fibrosis,F0,5,0.956532,0.143962
paper2_landmark,pc,fibrosis,F1,9,1.09434,0.034152
paper2_landmark,pc,fibrosis,F2,12,1.05251,0.029383
paper2_landmark,pc,fibrosis,F3,12,0.99418,0.035533
paper2_landmark,pc,fibrosis,F4,9,0.766033,0.089574
core_curated,pc,fibrosis,F0,5,1.140893,0.151632
core_curated,pc,fibrosis,F1,9,1.285134,0.036871
core_curated,pc,fibrosis,F2,12,1.197605,0.031211
core_curated,pc,fibrosis,F3,12,1.171751,0.038244
core_curated,pc,fibrosis,F4,9,0.975245,0.073627
paper2_top100,pc,fibrosis,F0,5,0.573405,0.042103
paper2_top100,pc,fibrosis,F1,9,0.624651,0.018484
paper2_top100,pc,fibrosis,F2,12,0.618412,0.014908
paper2_top100,pc,fibrosis,F3,12,0.585285,0.013551
paper2_top100,pc,fibrosis,F4,9,0.534882,0.026084
paper2_full,pc,fibrosis,F0,5,0.616961,0.020376
paper2_full,pc,fibrosis,F1,9,0.638588,0.011293
paper2_full,pc,fibrosis,F2,12,0.630388,0.010115
paper2_full,pc,fibrosis,F3,12,0.604161,0.007556
paper2_full,pc,fibrosis,F4,9,0.568054,0.0207
expanded_curated,pp,fibrosis,F0,5,1.048628,0.094125
expanded_curated,pp,fibrosis,F1,9,0.972327,0.030915
expanded_curated,pp,fibrosis,F2,12,0.995509,0.034345
expanded_curated,pp,fibrosis,F3,12,1.027613,0.039471
expanded_curated,pp,fibrosis,F4,9,1.091053,0.062083
paper2_landmark,pp,fibrosis,F0,5,1.125593,0.098168
paper2_landmark,pp,fibrosis,F1,9,1.046242,0.028665
paper2_landmark,pp,fibrosis,F2,12,1.069058,0.035248
paper2_landmark,pp,fibrosis,F3,12,1.10867,0.042982
paper2_landmark,pp,fibrosis,F4,9,1.146119,0.072506
core_curated,pp,fibrosis,F0,5,0.897336,0.073826
core_curated,pp,fibrosis,F1,9,0.864671,0.050387
core_curated,pp,fibrosis,F2,12,0.889419,0.043353
core_curated,pp,fibrosis,F3,12,0.922229,0.064071
core_curated,pp,fibrosis,F4,9,0.920794,0.082427
paper2_top100,pp,fibrosis,F0,5,0.561819,0.038664
paper2_top100,pp,fibrosis,F1,9,0.526149,0.015305
paper2_top100,pp,fibrosis,F2,12,0.555005,0.020773
paper2_top100,pp,fibrosis,F3,12,0.549736,0.018943
paper2_top100,pp,fibrosis,F4,9,0.609861,0.037515
paper2_full,pp,fibrosis,F0,5,0.509672,0.007728
paper2_full,pp,fibrosis,F1,9,0.513152,0.010309
paper2_full,pp,fibrosis,F2,12,0.514657,0.00765
paper2_full,pp,fibrosis,F3,12,0.500039,0.006564
paper2_full,pp,fibrosis,F4,9,0.491563,0.016168
