axis,level,zone,program,n_donors,median,q25,q75
stage,Healthy,PC,PC,4,1.253582264808939,1.0945331779662357,1.3271786943437638
stage,Healthy,PC,PP,4,0.7980562684021272,0.785353024838592,0.8372538461069976
stage,Healthy,mid,PC,4,0.9102691538797565,0.846170429997831,0.917426440922189
stage,Healthy,mid,PP,4,1.1030183877222026,1.071405652041,1.11749046042668
stage,Healthy,PP,PC,4,0.7005862316713486,0.61970627890727,0.728718021879185
stage,Healthy,PP,PP,4,1.3228821224770524,1.3112592324399277,1.3414906127591615
stage,NAFLD,PC,PC,7,1.3264888797363061,1.2457875590176508,1.349893441590087
stage,NAFLD,PC,PP,7,0.7903746344899168,0.7551346355005828,0.8536449807725983
stage,NAFLD,mid,PC,7,0.999147138301937,0.9257846145233752,1.034787353088014
stage,NAFLD,mid,PP,7,1.1496466089989288,1.040282983202217,1.1642163943853567
stage,NAFLD,PP,PC,7,0.7999474351115505,0.7487881073073945,0.8327516184474735
stage,NAFLD,PP,PP,7,1.3940164807389166,1.2987970639254103,1.43242223361727
stage,NASH,PC,PC,27,1.2071105599103846,1.1276275059947753,1.2527513467137255
stage,NASH,PC,PP,27,0.7901201518049712,0.7474229952377378,0.8640375678963588
stage,NASH,mid,PC,27,0.9143588374417335,0.873959282840354,0.9648236410109862
stage,NASH,mid,PP,27,1.078286888880998,1.0371845459915208,1.1338726972265811
stage,NASH,PP,PC,27,0.7450660102513211,0.6815331450839819,0.8020348575594829
stage,NASH,PP,PP,27,1.3266903958493312,1.2918560032910684,1.4051048684095013
stage,Cirrhosis,PC,PC,4,1.128123077934232,1.1037361906265988,1.1673693612127582
stage,Cirrhosis,PC,PP,4,0.7956803739053024,0.7662334731002096,0.829203239569797
stage,Cirrhosis,mid,PC,4,0.922546317007743,0.882662615485194,0.9560082298006702
stage,Cirrhosis,mid,PP,4,1.0559545460878375,0.9892992701035486,1.1317506624592215
stage,Cirrhosis,PP,PC,4,0.7648109088473058,0.751647140425365,0.7756743504061197
stage,Cirrhosis,PP,PP,4,1.3062896653422482,1.2586891103110116,1.3883849993082162
stage,End-stage,PC,PC,5,0.7356468664743679,0.7049545076247413,0.9557451282738408
stage,End-stage,PC,PP,5,0.6193237045641298,0.5259489687191911,0.7719095727736376
stage,End-stage,mid,PC,5,0.731661645840996,0.5907412931026457,0.8115263467074458
stage,End-stage,mid,PP,5,1.0589229785284922,0.884795423799574,1.0609455474402743
stage,End-stage,PP,PC,5,0.5428099009134034,0.474619299959513,0.5963054347542005
stage,End-stage,PP,PP,5,1.3068931550760032,1.303834924934275,1.4389560823367706
fibrosis,F0,PC,PC,5,1.2091831524805992,1.1991724308503848,1.2823919655547023
fibrosis,F0,PC,PP,5,0.7704167217800862,0.7515535211811507,0.7966195260577392
fibrosis,F0,mid,PC,5,0.9170467481063,0.8846083855415713,0.9185655193698558
fibrosis,F0,mid,PP,5,1.0654105028614183,1.0151554635430153,1.0910887322932445
fibrosis,F0,PP,PC,5,0.7194420692298804,0.6815132295153559,0.7558943860347161
fibrosis,F0,PP,PP,5,1.3244692530674858,1.3212949918866188,1.3462187376242178
fibrosis,F1,PC,PC,9,1.2548185766147222,1.2246947059993316,1.3348566123469685
fibrosis,F1,PC,PP,9,0.7972929856597133,0.7868805617316914,0.8692619213134424
fibrosis,F1,mid,PC,9,0.9091873640696745,0.8917864882645591,0.999147138301937
fibrosis,F1,mid,PP,9,1.1149480431511607,1.0537527977775898,1.1473394359396627
fibrosis,F1,PP,PC,9,0.7568421563594062,0.7196592338273413,0.7844927216183031
fibrosis,F1,PP,PP,9,1.3227419444631845,1.2811519540998542,1.4094568030543217
fibrosis,F2,PC,PC,12,1.2035751279786253,1.1446406544527399,1.2535525693131186
fibrosis,F2,PC,PP,12,0.7891073712714929,0.7647158119074197,0.845373583044323
fibrosis,F2,mid,PC,12,0.9392183663865563,0.9077026740705929,0.9614627819056907
fibrosis,F2,mid,PP,12,1.094534520065344,1.0585019954261832,1.1196976728996924
fibrosis,F2,PP,PC,12,0.7543577100085814,0.7272560043799337,0.825775115155206
fibrosis,F2,PP,PP,12,1.3420218518173548,1.3010735516472742,1.4017979134282985
fibrosis,F3,PC,PC,12,1.1967872855097967,1.1151105614036716,1.2725468223321925
fibrosis,F3,PC,PP,12,0.8259399967803203,0.748556286608052,0.8854113753399898
fibrosis,F3,mid,PC,12,0.9061594318345451,0.8595145041525627,1.01266696417931
fibrosis,F3,mid,PP,12,1.0736126885936255,1.018266170937226,1.1712656728528064
fibrosis,F3,PP,PC,12,0.7496408204181609,0.6577547209759207,0.822610274345522
fibrosis,F3,PP,PP,12,1.3595497154967688,1.2782198989092008,1.4222571641041297
fibrosis,F4,PC,PC,9,1.0782707513376657,0.7356468664743679,1.1110426538141234
fibrosis,F4,PC,PP,9,0.7691397939563056,0.6193237045641298,0.8222209538542994
fibrosis,F4,mid,PC,9,0.8436802909950463,0.731661645840996,0.894136837968323
fibrosis,F4,mid,PP,9,1.0589229785284922,0.974902395499239,1.0689088442294776
fibrosis,F4,PP,PC,9,0.6679870427651262,0.5428099009134034,0.7644053842144376
fibrosis,F4,PP,PP,9,1.3068931550760032,1.2625820026900594,1.4389560823367706
