set_name,arm,source,n_raw,n_after_dedup,n_present_paper1,n_present_paper2,missing_in_paper1,missing_in_paper2,notes
paper2_landmark,pericentral,"Hepatocyte-{PC,PP}-LM.csv",20,20,20,,,,
paper2_landmark,periportal,"Hepatocyte-{PC,PP}-LM.csv",20,20,20,,,,
core_curated,pericentral,hardcoded curated anchors,13,13,13,,,,
core_curated,periportal,hardcoded curated anchors,8,8,8,,,,
expanded_curated,pericentral,paper2_landmark + curated extras,41,26,26,,,,
expanded_curated,periportal,paper2_landmark + curated extras,38,23,23,,,,
paper2_top50,pericentral,"supplementary_table_8 (q<0.05, max_expr>=0.0001), ranked by |COM|",50,50,50,50,,,qValue available; ranked by Center_of_Mass; expr floor 0.0001
paper2_top50,periportal,"supplementary_table_8 (q<0.05, max_expr>=0.0001), ranked by |COM|",50,50,38,50,MT-CO1;MT-CO3;MT-ATP6;MT-ND4;MT-ND3;MT-CO2;MT-ND5;MT-ND1;MT-ND6;MT-CYB;MT-ND2;MT-ND4L,,qValue available; ranked by Center_of_Mass; expr floor 0.0001
paper2_top100,pericentral,"supplementary_table_8 (q<0.05, max_expr>=0.0001), ranked by |COM|",100,100,99,100,G6PC1,,qValue available; ranked by Center_of_Mass; expr floor 0.0001
paper2_top100,periportal,"supplementary_table_8 (q<0.05, max_expr>=0.0001), ranked by |COM|",100,100,87,100,MT-CO1;MT-CO3;MT-ATP6;MT-ND4;MT-ND3;MT-CO2;MT-ND5;MT-ND1;MT-ND6;MT-CYB;MT-ND2;MT-ND4L;H3-3A,,qValue available; ranked by Center_of_Mass; expr floor 0.0001
paper2_top250,pericentral,"supplementary_table_8 (q<0.05, max_expr>=0.0001), ranked by |COM|",250,250,248,250,G6PC1;EEIG1,,qValue available; ranked by Center_of_Mass; expr floor 0.0001
paper2_top250,periportal,"supplementary_table_8 (q<0.05, max_expr>=0.0001), ranked by |COM|",250,250,235,250,MT-CO1;MT-CO3;MT-ATP6;MT-ND4;MT-ND3;MT-CO2;MT-ND5;MT-ND1;MT-ND6;MT-CYB;MT-ND2;MT-ND4L;H3-3A;H1-10;H1-0,,qValue available; ranked by Center_of_Mass; expr floor 0.0001
paper2_full,pericentral,"supplementary_table_8 (q<0.05, max_expr>=0.0001), ranked by |COM|",1624,1624,1606,1624,G6PC1;EEIG1;AKR1C8;YJU2B;MTARC2;MARCHF7;FHIP1B;PHAF1;ATOSA;HAPSTR1;MTARC1;MARCHF6;CEP43;RUSF1;PALM2AKAP2;QARS1;GATD3;DENND2B,,qValue available; ranked by Center_of_Mass; expr floor 0.0001; all significant zonated genes split by COM sign
paper2_full,periportal,"supplementary_table_8 (q<0.05, max_expr>=0.0001), ranked by |COM|",447,447,429,447,MT-CO1;MT-CO3;MT-ATP6;MT-ND4;MT-ND3;MT-CO2;MT-ND5;MT-ND1;MT-ND6;MT-CYB;MT-ND2;MT-ND4L;H3-3A;H1-10;H1-0;NHERF1;ENSG00000284779;NHERF2,,qValue available; ranked by Center_of_Mass; expr floor 0.0001; all significant zonated genes split by COM sign
